Site ID,Hours of Inundation(hrs),Ratio of Damage(%),Loss(NPR),Level of Inundation(m),Combined effect of level and hour of inundation,Building Typology
108980,2,35.0,45000.0,1.35,2.7,Stone Masonry (Cement)
110700,2,20.0,40000.0,1.1,2.2,Temporary / Thatched
110647,2,35.0,200000.0,1.35,2.7,Stone Masonry (Cement)
110646,2,30.0,100000.0,1.1,2.2,Stone Masonry (Cement)
108951,2,25.0,100000.0,1.1,2.2,Stone Masonry (Cement)
110642,2,45.0,200000.0,1.2,2.4,Stone Masonry (Cement)
110680,2,25.0,150000.0,1.1,2.2,Brick Masonry (Mud)
110641,2,25.0,35000.0,1.15,2.3,Stone Masonry (Cement)
108329,2,25.0,100000.0,1.1,2.2,Stone Masonry (Cement)
110651,2,20.0,80000.0,1.2,2.4,Brick Masonry (Mud)
109011,2,35.0,35000.0,1.15,2.3,Stone Masonry (Cement)
110009,3,0.0,0.0,1.0,3.0,Brick Masonry (Mud)
110673,2,25.0,40000.0,1.15,2.3,Stone Masonry (Cement)
109729,3,0.0,0.0,0.9,2.7,Stone Masonry (Mud)
109730,3,0.0,0.0,0.9,2.7,Brick Masonry (Mud)
108952,2,35.0,60000.0,1.0,2.0,Stone Masonry (Cement)
110821,2,30.0,100000.0,0.6,1.2,Temporary / Thatched
173198,2,20.0,20000.0,0.3,0.6,Temporary / Thatched
173199,2,20.0,20000.0,0.3,0.6,Temporary / Thatched
173200,2,30.0,50000.0,0.3,0.6,Temporary / Thatched
110807,2,50.0,100000.0,0.6,1.2,Brick Masonry (Mud)
110834,2,20.0,50000.0,0.3,0.6,Temporary / Thatched
108959,2,20.0,50000.0,0.6,1.2,Temporary / Thatched
110809,2,30.0,50000.0,0.3,0.6,Temporary / Thatched
173204,2,30.0,100000.0,0.6,1.2,Temporary / Thatched
110810,2,20.0,100000.0,0.3,0.6,Temporary / Thatched
110811,2,30.0,100000.0,0.3,0.6,Brick Masonry (Mud)
173207,2,20.0,30000.0,0.3,0.6,Brick Masonry (Mud)
108931,2,50.0,100000.0,0.3,0.6,Brick Masonry (Mud)
109705,4,0.0,0.0,0.3,1.2,Brick Masonry (Mud)
173220,2,0.0,0.0,0.3,0.6,Brick Masonry (Mud)
173221,6,0.0,0.0,0.2,1.2000000000000002,Brick Masonry (Mud)
110515,7,0.0,0.0,0.3,2.1,Brick Masonry (Mud)
173222,2,0.0,0.0,0.2,0.4,Brick Masonry (Mud)
109774,3,0.0,0.0,0.3,0.8999999999999999,Brick Masonry (Mud)
110005,0,0.0,0.0,0.1,0.0,Brick Masonry (Mud)
109722,1,0.0,0.0,0.1,0.1,Brick Masonry (Mud)
109843,5,0.0,0.0,0.3,1.5,Brick Masonry (Mud)
109741,4,0.0,0.0,0.3,1.2,Brick Masonry (Mud)
109742,3,0.0,0.0,0.35,1.0499999999999998,Brick Masonry (Mud)
173231,3,55.0,50000.0,0.55,1.6500000000000001,Temporary / Thatched
110008,2,5.0,10000.0,0.3,0.6,Brick Masonry (Mud)
173247,1,5.0,5000.0,0.1,0.1,Brick Masonry (Mud)
109798,1,5.0,5000.0,0.06,0.06,Brick Masonry (Mud)
173248,2,5.0,10000.0,0.3,0.6,Brick Masonry (Mud)
173249,3,5.0,15000.0,0.35,1.0499999999999998,Brick Masonry (Mud)
173255,2,35.0,50000.0,0.95,1.9,Stone Masonry (Cement)
108043,2,30.0,200000.0,1.1,2.2,Stone Masonry (Cement)
109312,4,0.0,0.0,0.2,0.8,Temporary / Thatched
109324,4,0.0,0.0,0.2,0.8,Brick Masonry (Mud)
108077,2,35.0,50000.0,0.98,1.96,Stone Masonry (Cement)
108072,2,30.0,200000.0,1.0,2.0,Stone Masonry (Cement)
108070,2,30.0,150000.0,1.1,2.2,Brick Masonry (Mud)
109273,2,45.0,150000.0,0.98,1.96,Stone Masonry (Cement)
108074,2,25.0,100000.0,1.1,2.2,Temporary / Thatched
110681,2,30.0,40000.0,1.0,2.0,Stone Masonry (Cement)
110682,2,20.0,80000.0,1.1,2.2,Brick Masonry (Mud)
108150,2,35.0,100000.0,0.98,1.96,Stone Masonry (Cement)
109265,2,25.0,150000.0,0.96,1.92,Stone Masonry (Cement)
108109,2,20.0,50000.0,0.8,1.6,Stone Masonry (Cement)
109266,2,45.0,200000.0,0.95,1.9,Stone Masonry (Cement)
109267,2,20.0,100000.0,0.9,1.8,Brick Masonry (Mud)
173258,2,35.0,35000.0,0.95,1.9,Stone Masonry (Cement)
108895,3,20.0,20000.0,0.6,1.7999999999999998,Brick Masonry (Mud)
108118,2,25.0,200000.0,0.8,1.6,Brick Masonry (Mud)
188492,4,40.0,10000.0,0.6,2.4,Temporary / Thatched
108920,4,20.0,5000.0,0.5,2.0,Temporary / Thatched
109342,5,30.0,3000.0,0.6,3.0,Temporary / Thatched
108116,2,35.0,60000.0,0.99,1.98,Stone Masonry (Cement)
108149,2,35.0,100000.0,0.95,1.9,Stone Masonry (Cement)
110611,2,30.0,50000.0,1.2,2.4,Temporary / Thatched
108976,2,30.0,50000.0,1.2,2.4,Temporary / Thatched
110674,2,50.0,200000.0,0.6,1.2,Brick Masonry (Mud)
108944,2,50.0,200000.0,0.6,1.2,Brick Masonry (Mud)
108056,2,50.0,200000.0,0.6,1.2,Brick Masonry (Mud)
108051,2,50.0,200000.0,0.3,0.6,Brick Masonry (Mud)
108940,2,50.0,50000.0,0.3,0.6,Brick Masonry (Mud)
108941,2,50.0,100000.0,0.6,1.2,Brick Masonry (Mud)
110549,10,20.0,0.0,0.35,3.5,Brick Masonry (Mud)
110546,10,5.0,10000.0,0.45,4.5,Brick Masonry (Mud)
110446,3,5.0,15000.0,0.35,1.0499999999999998,Brick Masonry (Mud)
173269,1,10.0,5000.0,0.05,0.05,Brick Masonry (Mud)
109999,5,10.0,20000.0,0.45,2.25,Brick Masonry (Mud)
173270,3,0.0,0.0,0.3,0.8999999999999999,Temporary / Thatched
173272,3,0.0,0.0,0.2,0.6000000000000001,Brick Masonry (Mud)
110563,0,0.0,0.0,0.2,0.0,Brick Masonry (Mud)
110577,4,0.0,0.0,0.2,0.8,Brick Masonry (Mud)
110545,4,0.0,0.0,0.2,0.8,Brick Masonry (Mud)
109978,0,0.0,0.0,0.1,0.0,Brick Masonry (Mud)
173274,0,0.0,0.0,0.08,0.0,Temporary / Thatched
109278,3,60.0,40000.0,0.8,2.4000000000000004,Temporary / Thatched
108921,3,50.0,40000.0,0.6,1.7999999999999998,Temporary / Thatched
173279,1,0.0,0.0,0.42,0.42,Brick Masonry (Mud)
108143,7,40.0,0.0,0.8,5.6000000000000005,Stone Masonry (Cement)
109258,0,0.0,0.0,0.5,0.0,RCC Frame (Non-Engineered)
173282,3,50.0,40000.0,0.57,1.71,Temporary / Thatched
173284,2,25.0,50000.0,0.6,1.2,Brick Masonry (Mud)
108918,2,15.0,50000.0,0.52,1.04,RCC Frame (Non-Engineered)
109256,3,20.0,40000.0,0.7,2.0999999999999996,Temporary / Thatched
173286,3,23.0,0.0,0.54,1.62,Temporary / Thatched
110147,4,25.0,50000.0,0.6,2.4,Brick Masonry (Mud)
173288,3,23.0,0.0,0.55,1.6500000000000001,Brick Masonry (Mud)
108142,3,23.0,23.0,0.45,1.35,Temporary / Thatched
109338,3,45.0,45000.0,0.75,2.25,Brick Masonry (Mud)
173290,3,25.0,10000.0,0.6,1.7999999999999998,Temporary / Thatched
108917,3,26.0,15000.0,0.62,1.8599999999999999,Temporary / Thatched
173291,3,12.0,0.0,0.54,1.62,Brick Masonry (Mud)
173292,3,13.0,0.0,0.58,1.7399999999999998,Temporary / Thatched
108916,3,25.0,75000.0,0.86,2.58,Temporary / Thatched
188634,2,25.0,100000.0,1.1,2.2,Stone Masonry (Mud)
108627,2,25.0,30000.0,0.95,1.9,Stone Masonry (Mud)
108626,2,25.0,80000.0,1.1,2.2,Stone Masonry (Mud)
108112,2,32.0,50000.0,1.0,2.0,Stone Masonry (Mud)
108625,2,20.0,70000.0,1.1,2.2,Stone Masonry (Cement)
108624,2,35.0,80000.0,1.11,2.22,Stone Masonry (Cement)
108617,2,25.0,100000.0,1.1,2.2,Brick Masonry (Mud)
108615,2,38.0,80000.0,1.15,2.3,Stone Masonry (Cement)
108614,2,35.0,200000.0,1.15,2.3,Stone Masonry (Cement)
109309,2,20.0,50000.0,0.35,0.7,Brick Masonry (Mud)
